"","neighborhood","income_level","year","Fips","num_at_income_level","pct_at_income_level","median_income","rent_level","no_hhs_at_rent_level","pct_hhs_at_rent_level","median_rent","num_hhs_wo_internet","pct_hhs_wo_internet","rent_burden","borough"
"79","Murray Hill/Stuyvesant","$20,000 to $74,999",2019,106,1245,0.11496,"154501","$500 to $999",2644,0.0506,2712,3249,0.04145,0.224,"Manhattan"
"80","Murray Hill/Stuyvesant","$20,000 to $74,999",2019,106,1245,0.11496,"154501","Under $500",1466,0.02806,2712,3249,0.04145,0.224,"Manhattan"
"81","Murray Hill/Stuyvesant","$75,000 or more",2019,106,1476,0.02379,"154501","$1,000 to $1,499",5322,0.10185,2712,3249,0.04145,0.224,"Manhattan"
"82","Murray Hill/Stuyvesant","$75,000 or more",2019,106,1476,0.02379,"154501","$1,500 to $1,999",8218,0.15728,2712,3249,0.04145,0.224,"Manhattan"
"83","Murray Hill/Stuyvesant","$75,000 or more",2019,106,1476,0.02379,"154501","$2,000 or more",34602,0.66221,2712,3249,0.04145,0.224,"Manhattan"
"84","Murray Hill/Stuyvesant","$75,000 or more",2019,106,1476,0.02379,"154501","$500 to $999",2644,0.0506,2712,3249,0.04145,0.224,"Manhattan"
"85","Murray Hill/Stuyvesant","$75,000 or more",2019,106,1476,0.02379,"154501","Under $500",1466,0.02806,2712,3249,0.04145,0.224,"Manhattan"
"86","Murray Hill/Stuyvesant","Less than $20,000",2019,106,528,0.09584,"154501","$1,000 to $1,499",5322,0.10185,2712,3249,0.04145,0.224,"Manhattan"
"87","Murray Hill/Stuyvesant","Less than $20,000",2019,106,528,0.09584,"154501","$1,500 to $1,999",8218,0.15728,2712,3249,0.04145,0.224,"Manhattan"
"88","Murray Hill/Stuyvesant","Less than $20,000",2019,106,528,0.09584,"154501","$2,000 or more",34602,0.66221,2712,3249,0.04145,0.224,"Manhattan"
"89","Murray Hill/Stuyvesant","Less than $20,000",2019,106,528,0.09584,"154501","$500 to $999",2644,0.0506,2712,3249,0.04145,0.224,"Manhattan"
"90","Murray Hill/Stuyvesant","Less than $20,000",2019,106,528,0.09584,"154501","Under $500",1466,0.02806,2712,3249,0.04145,0.224,"Manhattan"
"91","Upper West Side","$20,000 to $74,999",2019,107,2716,0.15421,"136735","$1,000 to $1,499",8316,0.13551,1945,7276,0.07763,0.205,"Manhattan"
"92","Upper West Side","$20,000 to $74,999",2019,107,2716,0.15421,"136735","$1,500 to $1,999",6891,0.11229,1945,7276,0.07763,0.205,"Manhattan"
"93","Upper West Side","$20,000 to $74,999",2019,107,2716,0.15421,"136735","$2,000 or more",30960,0.50451,1945,7276,0.07763,0.205,"Manhattan"
"94","Upper West Side","$20,000 to $74,999",2019,107,2716,0.15421,"136735","$500 to $999",9165,0.14935,1945,7276,0.07763,0.205,"Manhattan"
"95","Upper West Side","$20,000 to $74,999",2019,107,2716,0.15421,"136735","Under $500",6034,0.09833,1945,7276,0.07763,0.205,"Manhattan"
"96","Upper West Side","$75,000 or more",2019,107,1885,0.02918,"136735","$1,000 to $1,499",8316,0.13551,1945,7276,0.07763,0.205,"Manhattan"
"97","Upper West Side","$75,000 or more",2019,107,1885,0.02918,"136735","$1,500 to $1,999",6891,0.11229,1945,7276,0.07763,0.205,"Manhattan"
"98","Upper West Side","$75,000 or more",2019,107,1885,0.02918,"136735","$2,000 or more",30960,0.50451,1945,7276,0.07763,0.205,"Manhattan"
"99","Upper West Side","$75,000 or more",2019,107,1885,0.02918,"136735","$500 to $999",9165,0.14935,1945,7276,0.07763,0.205,"Manhattan"
"100","Upper West Side","$75,000 or more",2019,107,1885,0.02918,"136735","Under $500",6034,0.09833,1945,7276,0.07763,0.205,"Manhattan"
"101","Upper West Side","Less than $20,000",2019,107,2675,0.23245,"136735","$1,000 to $1,499",8316,0.13551,1945,7276,0.07763,0.205,"Manhattan"
"102","Upper West Side","Less than $20,000",2019,107,2675,0.23245,"136735","$1,500 to $1,999",6891,0.11229,1945,7276,0.07763,0.205,"Manhattan"
"103","Upper West Side","Less than $20,000",2019,107,2675,0.23245,"136735","$2,000 or more",30960,0.50451,1945,7276,0.07763,0.205,"Manhattan"
"104","Upper West Side","Less than $20,000",2019,107,2675,0.23245,"136735","$500 to $999",9165,0.14935,1945,7276,0.07763,0.205,"Manhattan"
"105","Upper West Side","Less than $20,000",2019,107,2675,0.23245,"136735","Under $500",6034,0.09833,1945,7276,0.07763,0.205,"Manhattan"
"106","Upper East Side","$20,000 to $74,999",2019,108,2076,0.09821,"134264","$1,000 to $1,499",6287,0.09158,2288,5061,0.04678,0.243,"Manhattan"
"107","Upper East Side","$20,000 to $74,999",2019,108,2076,0.09821,"134264","$1,500 to $1,999",13063,0.19029,2288,5061,0.04678,0.243,"Manhattan"
"108","Upper East Side","$20,000 to $74,999",2019,108,2076,0.09821,"134264","$2,000 or more",42239,0.61529,2288,5061,0.04678,0.243,"Manhattan"
